customer_id,company_name,segment,country,signup_date
1,Solis and Sons,SMB,USA,2024-01-26
2,"Davidson, Thompson and Brown",Mid-Market,USA,2024-05-22
3,Dyer-Petersen,SMB,Canada,2025-07-12
4,Webb-White,Mid-Market,Canada,2024-01-31
5,Simmons Inc,Mid-Market,USA,2024-01-28
6,"Rosario, Robinson and Carrillo",SMB,Canada,2025-07-12
7,Young-Rodriguez,Mid-Market,UK,2024-10-11
8,Meyers Ltd,Enterprise,USA,2024-06-12
9,Moore and Sons,Mid-Market,Canada,2024-06-08
10,Alexander-Brooks,SMB,Canada,2024-04-14
11,Mata Group,Enterprise,USA,2024-12-18
12,Bass-Black,SMB,USA,2025-04-15
13,Griffin-Gonzalez,SMB,Canada,2025-01-22
14,Bishop PLC,Mid-Market,USA,2025-01-05
15,Hines Inc,SMB,USA,2024-02-16
16,"Banks, Owens and Blackwell",SMB,UK,2024-03-22
17,Cruz Group,SMB,Canada,2025-01-24
18,"Carroll, Brown and Mcclure",SMB,Canada,2025-01-08
19,Mitchell-Peterson,Mid-Market,USA,2024-09-30
20,"Davis, Thomas and Perkins",SMB,USA,2024-03-14
21,Robles-Brown,Enterprise,Canada,2024-09-07
22,Esparza PLC,Mid-Market,Canada,2025-07-24
23,Bradley-Sanders,Mid-Market,Canada,2024-02-27
24,Logan PLC,Enterprise,Canada,2024-11-19
25,"Mcconnell, West and Hoffman",Enterprise,UK,2025-08-03
26,Meyer-Bailey,Mid-Market,Canada,2025-05-26
27,"Morgan, Cross and Gonzalez",SMB,Canada,2025-04-14
28,Parker-Edwards,Enterprise,USA,2025-07-28
29,"Cruz, Ellis and Lloyd",SMB,UK,2025-03-14
30,Johnson-Jackson,Mid-Market,Australia,2024-08-12
31,Robinson LLC,Enterprise,Canada,2025-05-20
32,Henderson-Davis,Enterprise,Canada,2024-04-22
33,Vincent-Miller,Enterprise,USA,2025-03-08
34,Ingram-Montoya,Mid-Market,USA,2025-04-24
35,Cross Inc,SMB,USA,2024-01-12
36,Diaz Inc,Enterprise,USA,2025-07-03
37,Holmes-Malone,SMB,Canada,2024-12-14
38,Bright-Joyce,Mid-Market,Canada,2025-04-09
39,"Johnson, Meadows and Brown",SMB,Australia,2024-09-26
40,"Hancock, Lee and Johnson",SMB,Australia,2025-06-03
41,Rodriguez PLC,SMB,UK,2024-11-01
42,"Bailey, Williams and Gilbert",Mid-Market,Canada,2024-07-22
43,Berry Inc,SMB,Australia,2025-07-06
44,Wilson-Baker,SMB,USA,2024-01-01
45,"Chen, Molina and Carlson",Mid-Market,Australia,2024-04-24
46,Coleman and Sons,SMB,Canada,2024-11-10
47,Carrillo Inc,Mid-Market,Australia,2025-08-03
48,Schmidt and Sons,Enterprise,UK,2025-05-12
49,Sullivan-Baker,SMB,USA,2025-06-29
50,Brown-Anderson,Enterprise,Australia,2025-05-01
51,Velazquez Group,Enterprise,UK,2025-06-24
52,Smith and Sons,Mid-Market,Australia,2024-08-04
53,Hendricks-Jenkins,SMB,USA,2024-07-24
54,"Miller, Juarez and Nelson",Mid-Market,Canada,2025-01-17
55,Cannon and Sons,Mid-Market,Canada,2024-05-03
56,"Wright, Rhodes and Perez",Enterprise,USA,2024-01-22
57,Jenkins-George,Mid-Market,Canada,2024-08-13
58,"Orozco, Wheeler and Pearson",SMB,Canada,2024-03-01
59,Khan PLC,SMB,Canada,2024-12-04
60,Lindsey and Sons,Mid-Market,Canada,2025-05-12
61,"Cline, Meyer and Young",Enterprise,USA,2025-08-07
62,Anderson PLC,Mid-Market,UK,2025-04-29
63,Moore Ltd,Enterprise,USA,2024-04-09
64,Roberts-Love,Mid-Market,Canada,2025-02-24
65,"Gonzalez, Potter and Ward",SMB,Canada,2024-04-10
66,"Gregory, Anderson and Little",SMB,Canada,2024-04-21
67,Jones-Cox,Enterprise,Canada,2025-04-04
68,"Day, Ward and Franco",Enterprise,Canada,2025-04-18
69,"Madden, Conley and Young",SMB,UK,2025-03-29
70,Arroyo-Evans,SMB,Canada,2024-04-10
71,Jones Group,SMB,Australia,2024-01-16
72,"Sanders, Woodward and Odom",SMB,Canada,2024-08-30
73,Johnson PLC,Mid-Market,UK,2024-08-06
74,Hughes Ltd,SMB,Canada,2024-06-17
75,Johnson-Mcintosh,SMB,Australia,2024-09-28
76,Ochoa and Sons,SMB,Canada,2024-10-19
77,"Garcia, Coleman and Wells",SMB,USA,2025-07-23
78,"Mcclure, Ward and Watson",Mid-Market,Canada,2024-07-13
79,Smith-Williams,SMB,USA,2025-08-16
80,Lewis PLC,Enterprise,Canada,2024-11-17
81,Snyder Ltd,SMB,Australia,2025-05-29
82,Gonzalez-Goodwin,Mid-Market,Australia,2024-02-28
83,Williams PLC,Enterprise,Canada,2024-07-09
84,"Crosby, Powell and Ferguson",Enterprise,Canada,2024-08-28
85,"Miller, Brown and Payne",SMB,Canada,2025-08-06
86,Jones Ltd,SMB,Canada,2024-03-24
87,Reyes-Johnson,SMB,Canada,2025-06-19
88,Hall-Hunt,Mid-Market,Canada,2024-11-17
89,"Thompson, May and Weber",Mid-Market,Canada,2024-11-03
90,Wright Group,SMB,Canada,2024-03-15
91,"Newton, Thomas and Richards",SMB,Australia,2025-07-30
92,Martinez Group,Enterprise,USA,2024-08-06
93,Miles-White,Enterprise,UK,2024-12-23
94,Smith-Robinson,SMB,Canada,2025-01-13
95,"Santos, Galvan and Hernandez",Mid-Market,USA,2025-07-10
96,Sampson-Coffey,SMB,Canada,2025-06-25
97,Johnson-Richardson,SMB,Australia,2024-11-02
98,Andrade-Knapp,Enterprise,Canada,2024-05-17
99,Mcdonald-Orr,SMB,Canada,2025-07-20
100,Humphrey-Smith,Mid-Market,USA,2024-08-03
101,Simpson-Rodriguez,Mid-Market,USA,2024-09-27
102,"Davis, Blair and Scott",Mid-Market,Canada,2024-02-22
103,"Wilson, Figueroa and Stone",Mid-Market,Canada,2024-10-10
104,Meyer-Dean,Mid-Market,USA,2024-05-13
105,Ramirez-Mahoney,Mid-Market,USA,2025-03-28
106,Williams and Sons,Mid-Market,Canada,2024-01-10
107,Saunders Inc,SMB,USA,2024-06-01
108,Barr-Porter,SMB,USA,2025-08-19
109,White-Wright,Mid-Market,Canada,2024-02-12
110,Andersen Group,SMB,UK,2024-02-10
111,Diaz-Wong,Mid-Market,USA,2024-09-12
